product_id,product_name,category,sub_category,price
51,Presentation Folder,Office Supplies,Binders,392.18
52,Colored Pencil Set,Office Supplies,Art,544.37
53,Mesh Task Chair,Furniture,Chairs,176.2
54,Gaming Chair,Furniture,Chairs,284.56
55,Glass Coffee Table,Furniture,Tables,223.65
56,Ergonomic Keyboard,Technology,Accessories,442.14
57,Watercolor Paint Kit,Office Supplies,Art,995.47
58,Cube Organizer,Furniture,Bookcases,587.95
59,Mesh Task Chair,Furniture,Chairs,110.19
60,Sketch Pad,Office Supplies,Art,252.23
61,Leather Executive Chair,Furniture,Chairs,774.0
62,Leather Executive Chair,Furniture,Chairs,181.83
63,Sketch Pad,Office Supplies,Art,693.79
64,Legal Pads,Office Supplies,Paper,227.29
65,Folding Card Table,Furniture,Tables,806.19
66,Standing Desk,Furniture,Tables,321.97
67,"Pro Laptop 15""",Technology,Computers,755.95
68,USB-C Hub,Technology,Accessories,387.06
69,3-Ring Binder,Office Supplies,Binders,909.03
70,Standing Desk,Furniture,Tables,302.69
71,USB-C Hub,Technology,Accessories,418.49
72,5-Shelf Bookcase,Furniture,Bookcases,189.33
73,Mesh Task Chair,Furniture,Chairs,44.94
74,Legal Pads,Office Supplies,Paper,690.44
75,Folding Card Table,Furniture,Tables,354.59
76,Wireless Desk Phone,Technology,Phones,697.68
77,Gaming Chair,Furniture,Chairs,739.36
78,Ergonomic Keyboard,Technology,Accessories,378.01
79,Leather Executive Chair,Furniture,Chairs,882.59
80,Mesh Task Chair,Furniture,Chairs,789.47
81,Smartphone X12,Technology,Phones,484.47
82,Legal Pads,Office Supplies,Paper,366.19
83,USB-C Hub,Technology,Accessories,24.48
84,Laptop Cooling Pad,Technology,Accessories,105.68
85,Gaming PC,Technology,Computers,634.91
86,Glass Coffee Table,Furniture,Tables,480.4
87,Cardstock,Office Supplies,Paper,491.89
88,Presentation Folder,Office Supplies,Binders,390.01
89,Watercolor Paint Kit,Office Supplies,Art,764.31
90,All-in-One Desktop,Technology,Computers,703.54
91,USB-C Hub,Technology,Accessories,378.8
92,All-in-One Desktop,Technology,Computers,742.13
93,Standing Desk,Furniture,Tables,760.97
94,Wireless Mouse,Technology,Accessories,201.01
95,"Pro Laptop 15""",Technology,Computers,960.39
96,Gaming PC,Technology,Computers,26.95
97,Wireless Mouse,Technology,Accessories,552.41
98,USB-C Hub,Technology,Accessories,769.13
99,Cube Organizer,Furniture,Bookcases,363.46
100,Ladder Bookshelf,Furniture,Bookcases,498.97
101,Cardstock,Office Supplies,Paper,48.82
102,Gaming Chair,Furniture,Chairs,567.14
103,Standing Desk,Furniture,Tables,628.44
104,Laptop Cooling Pad,Technology,Accessories,183.85
105,Claude Monet Poster,Office Supplies,Art,569.19
106,Tablet Pro,Technology,Computers,285.5
107,All-in-One Desktop,Technology,Computers,725.55
108,Leather Executive Chair,Furniture,Chairs,816.48
109,USB-C Hub,Technology,Accessories,981.12
110,Business VoIP Phone,Technology,Phones,114.77
111,Ladder Bookshelf,Furniture,Bookcases,85.93
112,Leather Executive Chair,Furniture,Chairs,888.47
113,Folding Card Table,Furniture,Tables,751.01
114,Sticky Notes,Office Supplies,Paper,503.12
115,Wireless Desk Phone,Technology,Phones,155.13
116,All-in-One Desktop,Technology,Computers,141.63
117,3-Ring Binder,Office Supplies,Binders,261.9
118,Oak Dining Table,Furniture,Tables,770.86
119,Watercolor Paint Kit,Office Supplies,Art,366.47
120,Wireless Desk Phone,Technology,Phones,852.42
121,Sketch Pad,Office Supplies,Art,325.23
122,Glass Coffee Table,Furniture,Tables,175.73
123,Laptop Cooling Pad,Technology,Accessories,616.38
124,Standing Desk,Furniture,Tables,980.1
125,Rugged Flip Phone,Technology,Phones,246.48
126,Colored Pencil Set,Office Supplies,Art,920.45
127,Ergonomic Keyboard,Technology,Accessories,490.45
128,Cardstock,Office Supplies,Paper,636.71
129,Legal Pads,Office Supplies,Paper,467.69
130,Document Organizer,Office Supplies,Binders,665.56
131,Colored Pencil Set,Office Supplies,Art,421.64
132,Rugged Flip Phone,Technology,Phones,522.17
133,Watercolor Paint Kit,Office Supplies,Art,100.31
134,Recycled Printer Paper,Office Supplies,Paper,941.24
135,All-in-One Desktop,Technology,Computers,187.22
136,Presentation Folder,Office Supplies,Binders,858.8
137,Recycled Printer Paper,Office Supplies,Paper,982.03
138,Oak Dining Table,Furniture,Tables,228.85
139,Standing Desk,Furniture,Tables,226.45
140,USB-C Hub,Technology,Accessories,997.33
141,Sketch Pad,Office Supplies,Art,988.45
142,Oak Dining Table,Furniture,Tables,525.25
143,Document Organizer,Office Supplies,Binders,944.65
144,Standing Desk,Furniture,Tables,727.88
145,Cardstock,Office Supplies,Paper,66.89
146,Wireless Mouse,Technology,Accessories,200.52
147,Rugged Flip Phone,Technology,Phones,74.6
148,Legal Pads,Office Supplies,Paper,227.96
149,Sticky Notes,Office Supplies,Paper,384.38
150,Rugged Flip Phone,Technology,Phones,169.03
151,Gaming Chair,Furniture,Chairs,760.5
152,Laptop Cooling Pad,Technology,Accessories,364.59
153,Legal Pads,Office Supplies,Paper,164.84
154,Smartphone X12,Technology,Phones,470.33
155,Rugged Flip Phone,Technology,Phones,190.5
156,3-Ring Binder,Office Supplies,Binders,21.89
157,Business VoIP Phone,Technology,Phones,856.38
158,Wireless Desk Phone,Technology,Phones,322.61
159,Colored Pencil Set,Office Supplies,Art,324.02
160,USB-C Hub,Technology,Accessories,83.59
161,Claude Monet Poster,Office Supplies,Art,918.11
162,Presentation Folder,Office Supplies,Binders,288.64
163,Recycled Printer Paper,Office Supplies,Paper,521.77
164,Legal Pads,Office Supplies,Paper,19.16
165,3-Ring Binder,Office Supplies,Binders,574.26
166,Wireless Mouse,Technology,Accessories,82.93
167,Mesh Task Chair,Furniture,Chairs,329.44
168,Document Organizer,Office Supplies,Binders,943.09
169,5-Shelf Bookcase,Furniture,Bookcases,634.89
170,Mesh Task Chair,Furniture,Chairs,351.33
171,Document Organizer,Office Supplies,Binders,941.69
172,Folding Card Table,Furniture,Tables,823.21
173,Ladder Bookshelf,Furniture,Bookcases,536.93
174,3-Ring Binder,Office Supplies,Binders,39.54
175,Sketch Pad,Office Supplies,Art,287.14
176,Laptop Cooling Pad,Technology,Accessories,536.2
177,Floating Wall Shelves,Furniture,Bookcases,868.83
178,Ergonomic Office Chair,Furniture,Chairs,34.75
179,Smartphone X12,Technology,Phones,548.77
180,"Pro Laptop 15""",Technology,Computers,570.61
181,Floating Wall Shelves,Furniture,Bookcases,624.14
182,Glass Coffee Table,Furniture,Tables,454.06
183,Legal Pads,Office Supplies,Paper,607.98
184,Smartphone X12,Technology,Phones,578.1
185,Legal Pads,Office Supplies,Paper,403.81
186,All-in-One Desktop,Technology,Computers,815.39
187,Watercolor Paint Kit,Office Supplies,Art,287.96
188,Folding Card Table,Furniture,Tables,21.86
189,5-Shelf Bookcase,Furniture,Bookcases,320.34
190,Cube Organizer,Furniture,Bookcases,284.16
191,Legal Pads,Office Supplies,Paper,295.95
192,Gaming PC,Technology,Computers,998.51
193,Floating Wall Shelves,Furniture,Bookcases,173.33
194,3-Ring Binder,Office Supplies,Binders,463.01
195,Business VoIP Phone,Technology,Phones,376.29
196,Ergonomic Office Chair,Furniture,Chairs,344.86
197,Sheet Protectors,Office Supplies,Binders,271.5
198,Wireless Mouse,Technology,Accessories,999.28
199,Watercolor Paint Kit,Office Supplies,Art,268.44
200,Laptop Cooling Pad,Technology,Accessories,922.83
201,"Pro Laptop 15""",Technology,Computers,852.06
202,Wireless Desk Phone,Technology,Phones,843.14
203,Watercolor Paint Kit,Office Supplies,Art,240.31
204,Recycled Printer Paper,Office Supplies,Paper,510.02
205,Tablet Pro,Technology,Computers,954.3
206,Claude Monet Poster,Office Supplies,Art,72.74
207,Standing Desk,Furniture,Tables,735.24
208,Rugged Flip Phone,Technology,Phones,385.08
209,Floating Wall Shelves,Furniture,Bookcases,551.8
210,Sketch Pad,Office Supplies,Art,385.01
211,Colored Pencil Set,Office Supplies,Art,163.28
212,Standing Desk,Furniture,Tables,918.69
213,Presentation Folder,Office Supplies,Binders,462.66
214,USB-C Hub,Technology,Accessories,796.05
215,Gaming PC,Technology,Computers,356.88
216,Wireless Mouse,Technology,Accessories,858.72
217,Watercolor Paint Kit,Office Supplies,Art,574.29
218,Recycled Printer Paper,Office Supplies,Paper,54.56
219,Mesh Task Chair,Furniture,Chairs,10.0
220,Smartphone X12,Technology,Phones,687.89
221,Wireless Mouse,Technology,Accessories,815.82
222,Smartphone X12,Technology,Phones,913.48
223,Tablet Pro,Technology,Computers,581.45
224,Document Organizer,Office Supplies,Binders,983.86
225,Sheet Protectors,Office Supplies,Binders,502.53
226,Mesh Task Chair,Furniture,Chairs,774.47
227,5-Shelf Bookcase,Furniture,Bookcases,497.24
228,Sheet Protectors,Office Supplies,Binders,22.79
229,Leather Executive Chair,Furniture,Chairs,557.46
230,Sketch Pad,Office Supplies,Art,424.55
231,Watercolor Paint Kit,Office Supplies,Art,233.55
232,Glass Coffee Table,Furniture,Tables,828.87
233,Oak Dining Table,Furniture,Tables,355.4
234,Tablet Pro,Technology,Computers,316.31
235,Wireless Desk Phone,Technology,Phones,801.3
236,Sketch Pad,Office Supplies,Art,67.77
237,"Pro Laptop 15""",Technology,Computers,282.03
238,Leather Executive Chair,Furniture,Chairs,256.11
239,Sheet Protectors,Office Supplies,Binders,193.46
240,Mesh Task Chair,Furniture,Chairs,730.75
241,Colored Pencil Set,Office Supplies,Art,681.21
242,5-Shelf Bookcase,Furniture,Bookcases,364.88
243,Ergonomic Keyboard,Technology,Accessories,741.9
244,Gaming PC,Technology,Computers,988.46
245,Sketch Pad,Office Supplies,Art,282.19
246,Cube Organizer,Furniture,Bookcases,302.96
247,Ergonomic Keyboard,Technology,Accessories,796.67
248,Rugged Flip Phone,Technology,Phones,442.67
249,Laptop Cooling Pad,Technology,Accessories,701.73
250,Laptop Cooling Pad,Technology,Accessories,739.91
251,3-Ring Binder,Office Supplies,Binders,682.17
252,Standing Desk,Furniture,Tables,276.76
253,3-Ring Binder,Office Supplies,Binders,352.91
254,Sticky Notes,Office Supplies,Paper,945.96
255,Oak Dining Table,Furniture,Tables,860.97
256,Laptop Cooling Pad,Technology,Accessories,142.88
257,Colored Pencil Set,Office Supplies,Art,722.11
258,Claude Monet Poster,Office Supplies,Art,98.61
259,Cube Organizer,Furniture,Bookcases,828.01
260,Wireless Desk Phone,Technology,Phones,903.54
261,Legal Pads,Office Supplies,Paper,899.09
262,Rugged Flip Phone,Technology,Phones,885.08
263,Claude Monet Poster,Office Supplies,Art,669.27
264,Watercolor Paint Kit,Office Supplies,Art,17.84
265,Ergonomic Keyboard,Technology,Accessories,437.8
266,Wireless Desk Phone,Technology,Phones,828.51
267,USB-C Hub,Technology,Accessories,177.15
268,Legal Pads,Office Supplies,Paper,929.67
269,Ergonomic Keyboard,Technology,Accessories,93.63
270,Cube Organizer,Furniture,Bookcases,920.35
271,Standing Desk,Furniture,Tables,727.82
272,Sheet Protectors,Office Supplies,Binders,624.51
273,Rugged Flip Phone,Technology,Phones,753.01
274,Sheet Protectors,Office Supplies,Binders,754.37
275,Oak Dining Table,Furniture,Tables,129.92
276,Rugged Flip Phone,Technology,Phones,559.85
277,Sheet Protectors,Office Supplies,Binders,845.28
278,Glass Coffee Table,Furniture,Tables,163.4
279,USB-C Hub,Technology,Accessories,780.67
280,Leather Executive Chair,Furniture,Chairs,233.03
281,Gaming PC,Technology,Computers,548.36
282,Recycled Printer Paper,Office Supplies,Paper,354.99
283,Legal Pads,Office Supplies,Paper,813.95
284,Mesh Task Chair,Furniture,Chairs,956.16
285,Legal Pads,Office Supplies,Paper,510.77
286,Cardstock,Office Supplies,Paper,961.71
287,Claude Monet Poster,Office Supplies,Art,505.7
288,Folding Card Table,Furniture,Tables,578.85
289,Document Organizer,Office Supplies,Binders,236.87
290,Presentation Folder,Office Supplies,Binders,687.39
291,Legal Pads,Office Supplies,Paper,215.7
292,Claude Monet Poster,Office Supplies,Art,999.74
293,Colored Pencil Set,Office Supplies,Art,888.21
294,Gaming Chair,Furniture,Chairs,169.44
295,Ladder Bookshelf,Furniture,Bookcases,278.73
296,Folding Card Table,Furniture,Tables,174.79
297,Standing Desk,Furniture,Tables,826.22
298,3-Ring Binder,Office Supplies,Binders,865.52
299,Wireless Desk Phone,Technology,Phones,892.17
300,Ergonomic Keyboard,Technology,Accessories,213.22
301,Gaming Chair,Furniture,Chairs,747.16
302,3-Ring Binder,Office Supplies,Binders,37.31
303,Legal Pads,Office Supplies,Paper,540.95
304,Sticky Notes,Office Supplies,Paper,844.52
305,Document Organizer,Office Supplies,Binders,180.04
306,Wireless Desk Phone,Technology,Phones,732.76
307,Ergonomic Office Chair,Furniture,Chairs,961.44
308,Watercolor Paint Kit,Office Supplies,Art,827.81
309,Laptop Cooling Pad,Technology,Accessories,674.7
310,Legal Pads,Office Supplies,Paper,436.93
311,All-in-One Desktop,Technology,Computers,342.22
312,Business VoIP Phone,Technology,Phones,673.11
313,Claude Monet Poster,Office Supplies,Art,372.26
314,Business VoIP Phone,Technology,Phones,335.76
315,Presentation Folder,Office Supplies,Binders,942.49
316,Mesh Task Chair,Furniture,Chairs,969.48
317,Sticky Notes,Office Supplies,Paper,46.12
318,Sticky Notes,Office Supplies,Paper,521.36
319,Business VoIP Phone,Technology,Phones,272.14
320,"Pro Laptop 15""",Technology,Computers,484.48
321,Mesh Task Chair,Furniture,Chairs,827.65
322,Leather Executive Chair,Furniture,Chairs,57.87
323,All-in-One Desktop,Technology,Computers,530.54
324,All-in-One Desktop,Technology,Computers,765.27
325,All-in-One Desktop,Technology,Computers,550.44
326,Rugged Flip Phone,Technology,Phones,18.31
327,3-Ring Binder,Office Supplies,Binders,823.84
328,Cardstock,Office Supplies,Paper,318.72
329,Sheet Protectors,Office Supplies,Binders,585.3
330,Tablet Pro,Technology,Computers,969.81
331,Gaming Chair,Furniture,Chairs,556.6
332,Rugged Flip Phone,Technology,Phones,210.49
333,Leather Executive Chair,Furniture,Chairs,199.04
334,All-in-One Desktop,Technology,Computers,619.55
335,"Pro Laptop 15""",Technology,Computers,236.53
336,Presentation Folder,Office Supplies,Binders,452.19
337,Ergonomic Office Chair,Furniture,Chairs,233.09
338,Presentation Folder,Office Supplies,Binders,162.12
339,Rugged Flip Phone,Technology,Phones,211.53
340,Ergonomic Office Chair,Furniture,Chairs,803.8
341,Rugged Flip Phone,Technology,Phones,728.72
342,Rugged Flip Phone,Technology,Phones,38.85
343,Leather Executive Chair,Furniture,Chairs,86.33
344,Colored Pencil Set,Office Supplies,Art,946.77
345,Wireless Desk Phone,Technology,Phones,549.03
346,Laptop Cooling Pad,Technology,Accessories,149.13
347,Ladder Bookshelf,Furniture,Bookcases,74.17
348,Tablet Pro,Technology,Computers,402.81
349,Leather Executive Chair,Furniture,Chairs,762.42
350,Colored Pencil Set,Office Supplies,Art,504.61
351,Oak Dining Table,Furniture,Tables,792.33
352,Gaming Chair,Furniture,Chairs,505.08
353,Smartphone X12,Technology,Phones,965.38
354,"Pro Laptop 15""",Technology,Computers,337.31
355,Wireless Desk Phone,Technology,Phones,878.37
356,Standing Desk,Furniture,Tables,288.71
357,Gaming Chair,Furniture,Chairs,465.25
358,Sketch Pad,Office Supplies,Art,693.82
359,Sheet Protectors,Office Supplies,Binders,696.12
360,Document Organizer,Office Supplies,Binders,390.69
361,Standing Desk,Furniture,Tables,547.64
362,Sticky Notes,Office Supplies,Paper,568.64
363,Gaming PC,Technology,Computers,54.35
364,Gaming PC,Technology,Computers,823.41
365,Recycled Printer Paper,Office Supplies,Paper,211.64
366,5-Shelf Bookcase,Furniture,Bookcases,899.01
367,Cube Organizer,Furniture,Bookcases,757.88
368,"Pro Laptop 15""",Technology,Computers,657.11
369,Laptop Cooling Pad,Technology,Accessories,791.35
370,Glass Coffee Table,Furniture,Tables,925.66
371,Presentation Folder,Office Supplies,Binders,560.1
372,Sheet Protectors,Office Supplies,Binders,153.96
373,Recycled Printer Paper,Office Supplies,Paper,24.36
374,Gaming PC,Technology,Computers,63.17
375,Wireless Desk Phone,Technology,Phones,38.75
376,Leather Executive Chair,Furniture,Chairs,549.74
377,Cardstock,Office Supplies,Paper,509.33
378,Mesh Task Chair,Furniture,Chairs,931.3
379,Presentation Folder,Office Supplies,Binders,562.63
380,3-Ring Binder,Office Supplies,Binders,120.43
381,Smartphone X12,Technology,Phones,48.74
382,Oak Dining Table,Furniture,Tables,110.15
383,Laptop Cooling Pad,Technology,Accessories,801.25
384,3-Ring Binder,Office Supplies,Binders,347.49
385,Presentation Folder,Office Supplies,Binders,362.35
386,Presentation Folder,Office Supplies,Binders,27.53
387,Smartphone X12,Technology,Phones,313.8
388,Document Organizer,Office Supplies,Binders,28.76
389,Ergonomic Keyboard,Technology,Accessories,742.19
390,Colored Pencil Set,Office Supplies,Art,975.77
391,Wireless Mouse,Technology,Accessories,79.17
392,Gaming PC,Technology,Computers,447.5
393,Sketch Pad,Office Supplies,Art,206.21
394,Watercolor Paint Kit,Office Supplies,Art,402.2
395,Wireless Mouse,Technology,Accessories,524.66
396,3-Ring Binder,Office Supplies,Binders,789.32
397,Sketch Pad,Office Supplies,Art,30.33
398,Oak Dining Table,Furniture,Tables,400.92
399,Gaming Chair,Furniture,Chairs,267.98
400,Sticky Notes,Office Supplies,Paper,419.82
401,Wireless Mouse,Technology,Accessories,958.82
402,"Pro Laptop 15""",Technology,Computers,881.55
403,Floating Wall Shelves,Furniture,Bookcases,729.02
404,All-in-One Desktop,Technology,Computers,182.2
405,Legal Pads,Office Supplies,Paper,695.54
406,Sticky Notes,Office Supplies,Paper,914.15
407,Sticky Notes,Office Supplies,Paper,759.18
408,Watercolor Paint Kit,Office Supplies,Art,951.64
409,Wireless Desk Phone,Technology,Phones,621.8
410,Leather Executive Chair,Furniture,Chairs,878.93
411,Document Organizer,Office Supplies,Binders,210.47
412,Watercolor Paint Kit,Office Supplies,Art,492.08
413,Rugged Flip Phone,Technology,Phones,625.59
414,5-Shelf Bookcase,Furniture,Bookcases,545.15
415,Ergonomic Office Chair,Furniture,Chairs,878.38
416,Folding Card Table,Furniture,Tables,565.12
417,Mesh Task Chair,Furniture,Chairs,832.68
418,Folding Card Table,Furniture,Tables,84.3
419,Business VoIP Phone,Technology,Phones,478.1
420,Gaming Chair,Furniture,Chairs,63.14
421,Wireless Mouse,Technology,Accessories,183.76
422,Recycled Printer Paper,Office Supplies,Paper,54.23
423,Oak Dining Table,Furniture,Tables,703.96
424,Tablet Pro,Technology,Computers,307.56
425,Ergonomic Office Chair,Furniture,Chairs,923.25
426,Rugged Flip Phone,Technology,Phones,626.1
427,Rugged Flip Phone,Technology,Phones,899.79
428,Document Organizer,Office Supplies,Binders,99.7
429,Glass Coffee Table,Furniture,Tables,355.16
430,3-Ring Binder,Office Supplies,Binders,325.57
431,Cube Organizer,Furniture,Bookcases,236.47
432,Rugged Flip Phone,Technology,Phones,414.42
433,Leather Executive Chair,Furniture,Chairs,755.07
434,Presentation Folder,Office Supplies,Binders,865.47
435,Cardstock,Office Supplies,Paper,78.33
436,Business VoIP Phone,Technology,Phones,336.01
437,Wireless Mouse,Technology,Accessories,770.16
438,"Pro Laptop 15""",Technology,Computers,705.41
439,Ergonomic Office Chair,Furniture,Chairs,575.93
440,Recycled Printer Paper,Office Supplies,Paper,62.8
441,Business VoIP Phone,Technology,Phones,714.69
442,Recycled Printer Paper,Office Supplies,Paper,652.96
443,USB-C Hub,Technology,Accessories,75.32
444,Glass Coffee Table,Furniture,Tables,144.18
445,Watercolor Paint Kit,Office Supplies,Art,193.81
446,All-in-One Desktop,Technology,Computers,817.54
447,Folding Card Table,Furniture,Tables,91.89
448,USB-C Hub,Technology,Accessories,472.09
449,"Pro Laptop 15""",Technology,Computers,584.86
450,Presentation Folder,Office Supplies,Binders,556.94
451,USB-C Hub,Technology,Accessories,74.04
452,Business VoIP Phone,Technology,Phones,807.85
453,Recycled Printer Paper,Office Supplies,Paper,607.31
454,Sticky Notes,Office Supplies,Paper,128.91
455,5-Shelf Bookcase,Furniture,Bookcases,985.07
456,Floating Wall Shelves,Furniture,Bookcases,124.66
457,USB-C Hub,Technology,Accessories,379.08
458,All-in-One Desktop,Technology,Computers,95.64
459,5-Shelf Bookcase,Furniture,Bookcases,542.26
460,Cube Organizer,Furniture,Bookcases,723.9
461,Gaming Chair,Furniture,Chairs,802.42
462,Gaming Chair,Furniture,Chairs,365.3
463,Presentation Folder,Office Supplies,Binders,476.03
464,Sketch Pad,Office Supplies,Art,311.7
465,Document Organizer,Office Supplies,Binders,78.87
466,Sticky Notes,Office Supplies,Paper,599.92
467,Ergonomic Keyboard,Technology,Accessories,228.88
468,Wireless Desk Phone,Technology,Phones,96.87
469,Gaming Chair,Furniture,Chairs,446.75
470,Wireless Desk Phone,Technology,Phones,511.05
471,Watercolor Paint Kit,Office Supplies,Art,244.6
472,Wireless Desk Phone,Technology,Phones,517.57
473,Rugged Flip Phone,Technology,Phones,646.91
474,Wireless Desk Phone,Technology,Phones,828.32
475,Business VoIP Phone,Technology,Phones,896.91
476,Cardstock,Office Supplies,Paper,705.07
477,Floating Wall Shelves,Furniture,Bookcases,602.13
478,Smartphone X12,Technology,Phones,280.33
479,Watercolor Paint Kit,Office Supplies,Art,972.42
480,Sketch Pad,Office Supplies,Art,339.81
481,Cube Organizer,Furniture,Bookcases,429.39
482,Sketch Pad,Office Supplies,Art,567.13
483,Folding Card Table,Furniture,Tables,166.26
484,Legal Pads,Office Supplies,Paper,766.47
485,Wireless Desk Phone,Technology,Phones,602.75
486,Business VoIP Phone,Technology,Phones,943.37
487,Colored Pencil Set,Office Supplies,Art,965.76
488,Document Organizer,Office Supplies,Binders,613.84
489,Laptop Cooling Pad,Technology,Accessories,163.17
490,Claude Monet Poster,Office Supplies,Art,271.06
491,Gaming PC,Technology,Computers,774.47
492,USB-C Hub,Technology,Accessories,411.71
493,Wireless Mouse,Technology,Accessories,331.41
494,Folding Card Table,Furniture,Tables,522.34
495,Sketch Pad,Office Supplies,Art,435.06
496,Watercolor Paint Kit,Office Supplies,Art,190.45
497,Smartphone X12,Technology,Phones,321.75
498,Tablet Pro,Technology,Computers,434.08
499,Oak Dining Table,Furniture,Tables,872.46
500,Smartphone X12,Technology,Phones,763.27
